CANTIQU ES	-------⌫-|
I e re geïraiatei	-⌫|--⌫------||--|
Sirekartuiesc urr uci e zame	---|--|-|--|-⌫---⌫---⌫-⌫||-|
cu nuer tiz iesecunf orta smei	--⌫----⌫--|--||----⌫----⌫|--|
Deuslimiens salueresfiançus ementf eraienecrendrai	---|-|----|-------|--------⌫----|-⌫---||-|-------|
Ka rlamei fo r c e e	--⌫|-|--|--⌫-⌫-⌫||
lam ei loenge est li	-|-⌫-|-----|--|-|
Sire s efaitest amei en	----⌫||---|--||--|-|
u u s espuiser ezewesinioiedesfontei nes	-⌫-⌫|--------⌫-|---|-|---|--|------⌫--|
Salueoredirrez enceliur	------||-----|-|--|--|
Regei ̈siezal	-----⌫----|-|
Seignoreapelezl e suen	------||-----|-⌫|---|
Faites cuneüdesenp upleslessues	-----|--------|-|-⌫----|--|---|
i nuenc iuns remembresquehaltz estli suensnums	-⌫-----⌫---|--------|--|----|--|-|----|---|
Se ignorka rmult gra ntmen t a d fait a nunciez çoent ute	--⌫----|--⌫|---|---⌫-----⌫|-⌫|---|-⌫------|--|-|-⌫--|
Esleece teieloehabitatiun de	------|--||--|---------|-|
Syonkar granze st	---|--|----|-⌫-|
el mi leudetei liseinz de	-|--⌫--|-|--|-|----|-|
CA NTI CUM	--⌫---⌫--|
Ie dis en l ama ienetetdemesiurz	-|--|-|-⌫|--⌫------|-|--|---|
Ie ir raiasportesd enfern	-|--⌫--|-|-----||-----|
Iequislar e masillede mes	-|---|-|-⌫-⌫------|-|--|
N eu errai	-⌫|-⌫----|
Deuen l at erre desuiuanz	--|-|-⌫|-⌫---|--|-----|
Neesguarderaihumeen	-|----------|---|-|
ul tre eabiteür derepos	--⌫--||-------|-|----|
generaciu nstolei teest	---------⌫-|-----⌫-|--|
edestu rnethe e stde	|-----⌫-----|-⌫-|-|
mei ensement	--|-------|
cumetaber nacledep a st urs	---|-----⌫----|-|-⌫-⌫--⌫--|
Trench ethe estense men t	------⌫---|--|----⌫---⌫|
cume de teisant	---|-|------|
lameiu iede ment resuncorequei oor diseiesuztrenc ̧ a d mei	-|--|-⌫-|--⌫----⌫--|-----|--|-⌫|--⌫-----|--------⌫-⌫-⌫|--|
Ieslematin desquealu esprefinira smei	--|-|----|-----|-|-⌫----|------⌫|--|
Iees perowedesqueal matinensem ent	-|--⌫-----|-----|-|----|-----⌫--|
issi detribl ant	---|-------⌫--|
tres tuz lesmie nsos	----⌫--|--|---⌫-|-|
Ieslema t in des q ue	--|-|--⌫-⌫-|---⌫-⌫-|
aluesp refin irasme isicumepulchinde	-|----⌫-|---⌫---|--⌫|-----|------|-|
arunde issicri eraipurpens eraisicumec olumbe	-----|---|---⌫---|-------⌫---|-----|-⌫-----|
Ateneuidsunt	-------|---|
limien oil	-|---|--|
esguardanzen h altesce	---------|-|-⌫------|
Si r eforc eieseofre res p und purmeiq u e	--⌫-⌫|----⌫|-|-----|---⌫-⌫--|--|--|-⌫-⌫|
d irr aiu chire sp on drat a me iquantiomethesm e	-⌫---⌫-||--|--⌫--⌫--⌫---||--⌫|----|-|-------⌫|
Ierepurpenseraituz lesmiens ans	-|------------|--|--|----|--|
enamertume delameie	-|-------|-|-|---|
Sire si issiestu escuth e entels cosesl a	---|-|---|--|-⌫-----||-|---|----|-⌫|
uiedem unespirittu	--|-|-⌫-|------|-|
castie rasmei	------⌫--|--|
eu iuifierasmei	|-⌫--------|--|
Aastetei enpeaislam eie amertume	----|--|-|----|-|-⌫--|-------|
t resamere	-⌫--|----|
Tuacertesdeliuera slameiea n e mequereleneperisist	-|------|--------⌫|-|---|-⌫-⌫-⌫-|---|--|-|-------|
tud eget as arie ret un dostuzles mien spechiez	-|-⌫----⌫-|----⌫-|-⌫-|--|--|--|----⌫|------|
Karenfernsne regeïrat a teinem o rtn eloer at	--|------|-|--------||--|-|-⌫-⌫-|-⌫|----⌫-|
teine ate n druntc hi descendent	--|-|---⌫-⌫----|-⌫-|---------|
enfossel a	-|----|-⌫|
tueueri tet	--|----⌫--|
uiuanzuiuanzilregeïrat a teisi cumene de s ie	-----|-----|-|--------||--|--⌫---|--⌫--⌫|-|
asfilzconeü defera tla tu e	-|---|------⌫-|----⌫|-|--⌫|
S ir es alfme f aie	-⌫--⌫|-⌫--|-|-⌫-||
noz salme s nusca nterunspartrest uz les	--|-----⌫|--|--⌫------|--|-----⌫-|--|
iurzdenostreu iee nla maisundel	---|-|-----|-⌫-|-⌫|-|-----|--|
CAN TIC UM	---⌫---⌫-|
Eslethesça d li	-----------⌫|-|
m i ensc uers	-⌫-⌫--|-⌫---|
Seignur e exalci ezestmien s c uers	------||------⌫-|--|----⌫|-⌫---|
Assa mpliee stl ameie buch esurme s e nemis kari e	----⌫----|-⌫-|-⌫|---|----⌫|--|--⌫|-⌫----|--|-⌫|
mesl edeçai eltuns aluable	|---⌫------|-|--|-⌫------|
sainzsicume estli	----|-----|--|-|
Sire karn en estaltr eestret ei e nen	---|--|-⌫-|--|----⌫|----|-⌫-||--|
est f orts icume nos t re	--|-⌫--|-⌫----|---⌫-⌫-|
Neuoillezmulti pli er aparler	-|------|-----⌫---⌫-||-----|
haltescoses glorianz	-----|----|-------|
Desseiurentu iezcose sde uos trebuche kar	----------|-⌫--|----⌫|-|---⌫--|----|--|
Deus descien cesest	---|-|-----⌫--|--|
a luisuntapres téescogitatiuns	|--|---|-----⌫----|----------|
Li arcd esforz surmuntezesteli enfeorm	-|--|-⌫-|---|--------|--||-|------|
suntceinz d eforce	---|----|-⌫|----|
Raemplidp remerainementde pa ei n sei	-------|-⌫------------|-|--⌫--⌫|--|
aloerentelifa meillus	-------||-|--⌫------|
saüledsunt	------|---|
Iesquelab arha ine	-----|-|-⌫----⌫--|
enfant atpl u surs eicelechimult fil za u eite nfeorm e t he	------⌫-|--⌫-⌫---||----|--|---|---⌫|-⌫-⌫--|-⌫------⌫-⌫-⌫-|
S ire mortifi ed e	-⌫--|-------⌫-||
uiuifietdemeinneaenfe rs	-------|-------||----⌫-|
era mein ne d	|--⌫----⌫--⌫|
Sire f aitpoure e enrichis th u milietesuzl eue t	---|-⌫--|----||--------⌫|-⌫-⌫-----||----⌫---⌫|
Esdrecantde puldre	--------|-|-----|
l e busunnusede ordeure	-⌫|-------||-|------|
esl euet lepour e	---⌫---|-|----⌫|
Queil secetotprinc esesole rde glorieti e nged	--|-|----|-|-----⌫-||----⌫|-|-----|--⌫-⌫---|
Seignor sunt li car nede	------|---|-|---⌫-|-|
terreepo s a ts ur	----||--⌫-⌫-⌫|-⌫-|
Lespi ezdesessains g uarderate	--|--⌫-|-|--|----|-⌫-------||
ente n e bresseitaisieruntk aren sa fortece	-|--⌫-⌫-⌫---|--|---------|-⌫-|-|-|------|
nese r at esforci ezheom	-|--⌫-⌫-|-------⌫-|---|
Seignorcrendrunt	------|--------|
li adu ersariede	-|---⌫------|-|
sur elsmeesmeses	--|--|------|-|
ciels tonerad	----|------|
Si reiugeratlesfin sdeterreedunratempiri e	--⌫-|------|--|---⌫|-|----||-----|------⌫|
a sunreie exalceratlacor ne	|--|--||--------|-|---⌫-|
CA NTI CUM	--⌫---⌫--|
Cantuns al	------|-|
Seignurkarg lor io sementmagnif iezestcheualele mun tethur d eietat	------|--|-⌫---⌫--⌫-----|------⌫--|--|-----||-|---⌫-----|-⌫-----|
Lamei forteceen la meieloengeestli	-|--|------|-|-|---|-----|--|-|
S ire en faiz estameien	-⌫--|-|---|--||--|-|
Icis t li miens	----⌫|-|----|
Deuseie glorifierailuil i	---||-|----------|--|-⌫|
Deu sdemun pere	---⌫|-|--|---|
eexalcerai lui	|--------|--|
Sireensemencumehumecumbater etrestutpoa n z	---|------|---|---|--------⌫|------|---⌫-⌫|
delu ilesc urresde	-|--⌫|--|-⌫----|-|
Pha rau ̈n e	---⌫---⌫-||
le ostdelui	-|--|-|--|
degetat en la m er	------|-|-|-⌫-|
Li eslit princedelui suzpl ung ietsunt e n	-|----|-----|-|--|-----⌫---⌫--|---|-⌫|
Liabysme c uurirent elsdescendirent	-|-----|-⌫-------|--|-----------|
enlaparfunde ce	-|-|--------⌫-|
Latuedes tre	-|--|---⌫--|
Siremagnif ietheest en enfo rtece la tue	---|------⌫----|--|-|----⌫----|-|--|
Sire fe rit lenemie	---|--⌫--||----||
la m ulti tudinedeta gloriedeposas lesmiensaduersaries	-|-⌫----⌫-----|-|-|-----|------|--|----|----------|
Tu en ueiasla tueir e	-|--⌫----|-|--|--⌫|
laqueled euor atelssicumestub leenle	------|-⌫----⌫-|--|-----|----⌫-|-|-|
s pirit delatue	-⌫----|-|-|--|
fuire as emblethessuntewes	----|--⌫--------|---|---|
Est uit unde decuranzass embletsu nt liabysmeen mila	---⌫--|---|-------|---⌫-----|--⌫-|-|-----|-|-|-|
Dist lienemi	---|-|----|
Ie parsiueraie	-|---------||
com pren deraid euiseraid espo il lesserataem pliela	---⌫----⌫----|-⌫-------|-⌫----⌫--⌫--|----|---⌫---|-|
Iotrairaimungl aiu eocir atelsla	-|------|--|--⌫---⌫|----⌫-|--|-|
Sufflat li tuens espirizecou ritel sl a	------|-|----|-------|---⌫--|--⌫|-⌫|
mersuz plungi ed su nt	--|---⌫------⌫-|--⌫-|
sicume plume nfortesewes	-----|---|-⌫|-----|---|
Liquelse st	------|-⌫-|
semblanz a	-------||
L iquelsestsembl anzat eifait granz	-⌫-----|--|-----⌫--||-⌫-|---|----|
en sai nteed e sp o uentableseloables e faisanzmerueilles	-|---⌫----|-⌫--⌫-⌫--------||------||------|---------|
Tuestendistamai nede uorat elslaterre	-|-------|-|---⌫||--⌫----|--|-|----|
Duitre fusenm iserecordealp o plelequeltu	-----|--|-|-⌫---------|-|-⌫-⌫--|-----|-|
raensi sEportasluien	------⌫||-----|--|-|
latuefor teceal tuen sa i nthabi tacle	-|--|---⌫---|-|---|--⌫-⌫-|----⌫----|
Mun terentlipo ple eirietsuntdolors	---⌫-----|-|--⌫--||----|---|-----|
puruindren tliha biteü r de	----------⌫|-|--⌫------⌫|-|
Lores conturbet sun tlipri ncede	----|--------|---⌫|-|---⌫--|-|
Ed o m les	--⌫-⌫|--|
Moabpurteoncr ieme enre di r ent tuit liabiteür	---|--|---|--⌫---|-|--⌫--⌫-⌫--|---|-|-------|
surelscrieme	--|--|-----|
epoür enlagr andec e	|----|-|-|--⌫-----⌫|
