iadisaui entenn ormendie	----|---⌫--|-|-⌫-------|
une auent uremutoie	--|-----⌫--|--|--|
d edeus amanzques entreamerent	-⌫|---|----|--||-----------|
paramur ambedeus	--|---|-------|
un lai enfirent libretun	-|--|-|-----|-|-----|
a manzrecuiltlenun	-⌫---|------|-|--|
ueri te es tkeenn eustrie	----⌫-|--⌫|-|-|-⌫------|
quenu s apelu mnormendie	--|--⌫|-----⌫|--------|
mun tme rueill e sgran t	---⌫|--⌫------⌫-⌫|----⌫|
lasus gisentli dui enfant	-|--|-----|-|--|-----|
pr e s decel mu ntaunepart	--⌫-⌫|-|--|--⌫-||--|---|
pa rgrantcunseileparesgart	--⌫|----|------||--|-----|
une cit efistfai reu n sreis	--|---⌫|---|---⌫-|-⌫-⌫|---|
queeste itsire de s	--|----⌫-|---|--⌫|
despistreinslafis t	--|--------|-|---⌫|
epistrelafistapel er	|-----|-|---|----⌫-|
tuziurs adpuisduré li	--|---|-|---|----|-|
uncoreiad uilee maisuns	-----||-|---||------|
lacon tre e	-|---⌫---⌫|
pistreest nomee	-----|--|----|
lir eis otu nefille bele	-|-⌫--|-|-⌫-|----|---|
mutc urteis edamei s e le	--|-⌫------⌫|-----⌫-⌫-⌫-|
cunfortezfu p arlameschi ne	--------|-|-⌫-|-|------⌫-|
pui squ e p erdueotlareine	---⌫|--⌫|-⌫----|-|-|----|
plusursam alli a turnerent	------||-⌫-|-|-⌫--------|
lisuenmeisne leblam er ent	-|---|-----|-|----⌫--⌫--|
quantil oique hum	----|-|-|--|--|
mut fudolent	--|-|-----|
cumencasei	------|--|
apurpenser	|--------|
cume ntsenpurratdeliuerer	----⌫-||-|-----|--------|
que nul safilleneques ist	--|--|-|----|-|----⌫--|
luin z epre s mandae dist	----⌫||---⌫|----||---|
filleuodreitaueir	----|------|----|
u nec hose seus t de ueir	-⌫-|-⌫---|----⌫|-|---|
sortitesteit edestin é	-----|-----||------⌫-|
desu rlemuntfo rs	----⌫|-|---|--⌫-|
entre sesbrazlaportereit	----|--|---|-|--------|
sique nese respo sereit	-|--|-|-|-----⌫-----|
quant lan uu el e	----|-|-⌫--⌫--⌫|
epartutlacuntrees eue	|--|--|-|------|-⌫--|
asez plusurssi asue ren t	---|------|||----⌫---⌫|
quenule rien nies pleiteren t	--|---|---|||--⌫---------⌫|
tantsesforcouent	---||----------|
queen milemuntlaportoent	--|--⌫-|-|---|-|-------|
n epoeientauant	-⌫|------|----|
iloec luresteutlaissi e r ester	----|--|-----|------⌫-⌫|----|
lungtens r emistc elea	---|---|-⌫----|-⌫--||
quen ulnelauoltdema nder	--|-⌫-|-|-|---|----⌫---|
al paisotundamisel	-|---|-|-|------|
fiza u nc un tege nt ebel	--||-⌫|-⌫--⌫-|--⌫-||--|
d ebienfairepuraueirpris	-⌫|---|----|--|----|---|
autr essest entre mis	----⌫-||--|-----⌫--|
enl acurtle	-|-⌫|---|-|
reicon uersot	--|---⌫-----|
asezsouentisuriurn ot	---|-----||-------⌫-|
lafille alreiama	-|----|-|--|--|
e meintefeizlareisuna	|---------||-------|
epar dru erielamast	|--|---⌫---||----|
pu rce okepruzfui e cu rteis	--⌫|--⌫|-|---|--||--⌫----|
equ emut lepresotli r eis	|--⌫|--|-|-----|-|-⌫--|
ensemb lep arle rentsouen t	------⌫-|-⌫----⌫---|-----⌫|
esentreamer entlea ument	||---------⌫--|---⌫----|
ec elere ient alur	|-⌫-----⌫---||--|
pu istaparce ue ir	--⌫--|------⌫--⌫-|
lasuf fr ancemut lur greua	-|---⌫--⌫---|--|--|----|
mesliual lezse purpens a	--|-|---⌫--|-|-------⌫|
que me uzenuolt	--|--⌫-|-|---|
lesmaussuffrir	--|---|------|
q uetrop hastereduncfaillir	-⌫-|---|-----||---|------|
mut fupurlia mer destreiz	--|-|--|-|-⌫--|-------|
puisauientsi que a	---|-----|-|--||
un e fei z	--⌫|---⌫|
queasamieuient li damis eus	--|||---|----|-|-----⌫--|
quet an t est	--|-⌫--⌫|--|
sagespru ze beus	----|---⌫||---|
sapleinte lim u strate	-|------|-|-⌫-⌫----||
a nguissusementli requi st	-⌫------------|-|-----⌫-|
al a ste nsemble odlui	--⌫-⌫-|-⌫------|-|--|
nepo eitme ssuff rir lenui	-|--⌫--|--⌫|----⌫--||---|
si asunpere la demandot	-||--|---|-|-------|
ilsau eitbien q u etantl amot	-|---⌫--|---|-⌫-⌫|---||---|
quepas n e li uodreitdoner	--|--|-⌫|-|------|----|
siil nela pui st	-|-|-|-|---⌫-|
entresesbraz	----|--|---|
en sum le m unt	-|--|-|-⌫--|
la damisele	-|-------|
amis faitel eieosa ibien	---|---|--⌫|--|--⌫|---|
nem epor te riez purri e n	-|-⌫|---⌫--⌫---|--|--⌫-⌫|
n est esmiesiuertuus	|---⌫-|--|-|------|
en u oisen sembleod	-|-⌫--|--⌫-----|-|
misperesauer eit e	--|----|----⌫--||
neuiuerei tmiesanz martir e	-|-------⌫|--|---|------⌫|
certe st antle ime sil ai c hier	-----⌫|-⌫--||-⌫-||-||-|-⌫---|
ieo neluodre iecu rucier	--|-||-----⌫-|--⌫-----|
aut recunseiluus	---⌫-|------|--|
estuetprendre	-----|------|
kar cestneuoil ieopasentendre	--|---|-|---|--|--|-------|
ensalerneaiunep ar ente	-|------|-|--|-⌫--⌫---|
richefemmemu ta dgran tren te	----|----|--⌫|-⌫|----⌫|---⌫-|
pl usdetr ente anz	--⌫-|-|--⌫---|--|
i ade st é	|-|-⌫--⌫-|
lartd ephisikeadtant usé	|--|-⌫|------|-|---|---|
quemu t estsai ues de mescine s	--|--⌫|--|---⌫--|-|-------⌫|
tantcun ustherbese	---|---⌫--|-----||
siuu saliuole za le r	-|--⌫||-|----⌫|-⌫--⌫|
emes lettres	|--|------|
od uus porter	-|--|-----|
liuostreauenture	-|-----|-------|
ele enp rendracunseil e c ure	--|-|-⌫-----|------||-⌫--|
teuslettuairesuusdurat	---|---------|--|----|
eteus beiuresu usbaillera t	|---|------|-⌫-|--------⌫|
quetutuus recun forterunt	--|--|--|-----⌫--------|
eboneuer tuuusdurrunt	|---|---⌫-|--|------|
quan tencestpa is reuen drez	----⌫|-|---|--⌫-|-----⌫---|
amunper eme	|--|---⌫|-|
iluus entendratp ur	-|--|-|------|-⌫-|
siuusdi ratle cuuenant	-|--|--⌫--|-|-------|
que a nulhumme	--||--|----|
nemedurrat	-|-|-----|
ia ce lepeine n	-|--⌫-|----||
sialmuntne me	-|-|---|-|-|
peu st p orter	---⌫-|-⌫----|
entreses brazsanzreposer	----|--|---|---|------|
liua llez oi lanouel e	-|--⌫---|-|-|-----⌫|
elecunseila	|-|------||
mute n fu liez	--|-⌫|-|---|
s i lenmercie	-⌫||-|-----|
cungedemande	----|------|
ensa cu ntreeen est alez	-|-|--⌫----|-|--|---|
hast iue me ntsest at ur nez	----⌫---⌫--⌫-||--|--⌫--⌫--|
deriche drase	-|----|---||
depa lefreizedesume rs	-|--⌫------||-|----⌫-|
hummesles plus priuez	-----|--|---|-----|
ad li danzeus od s eimenez	-|-|------|-|-⌫-|----|
a salerneuaitsuriurner	|------|---|--------|
a l auntesam ie	||----||--⌫-|
u et p arler	-⌫-|-⌫----|
de sa partli dunat	-|-|---|-|----|
quan te le lot litde chi efen	----⌫|-⌫-||-|--|-|---⌫-|-|
en s embleodlilaretenu	--⌫-⌫----|-|-|||-----|
tantque sun est readtantseu	---|--|--|---⌫-|-|---|--|
parmes cineslad esforcié	--|---⌫----||-|--------|
un telbeiureliadc ha rgié	-|--|-----|-|-|-⌫--⌫----|
ianeser at tan t tra uaillez	-|-|---⌫-|---⌫|---⌫------|
nesiateintnesi ch argiez	-|-|-----|-|-|--⌫-----|
neliresfreschistt utlecors	-|-|-----------|-⌫-|-|---|
neisles uai n es ne	---|--|---⌫-⌫-|-|
e quil nen a ittele	|-|-||-|-⌫-|---|
cum ilen aura	--|-|-|---|
